Date,UserID,TweetID,TweetPol,DescPol,QuotePol,HashPol,RTUserID,QUserID,ReplyUserID,RTweetID
2018-05-15 18:17:12,3917610321,996454465862557696,-0.5,0.25,0,0,918889854267781120,None,None,996453925330083840
2018-05-15 18:17:50,2989209873,996454626605092864,-0.5,0.0,0,0,918889854267781120,None,None,996453925330083840
2018-05-15 18:18:08,3277729183,996454700743577600,-0.5,0.0,0,0,918889854267781120,None,None,996453925330083840
2018-05-15 18:20:45,747868488761413632,996455357793931265,-0.5,0.0,0,0,918889854267781120,None,None,996453925330083840
2018-05-15 18:21:33,3514660702,996455559871320067,-0.5,0.0,0.0,0,3179673866,None,None,996178566974005248
2018-05-15 18:24:02,113768015,996456185606877184,-0.5,0.1,0,0,None,None,118747604,None
2018-05-15 18:25:28,986513720472952832,996456548019908608,-0.5,0.0,0,0,32536660,None,None,793005938185801728
2018-05-15 18:26:03,838122486818562048,996456693465837568,-0.5,0.0,0,0,None,None,None,None
2018-05-15 18:26:20,918889854267781120,996456762369822721,-0.5,0.0,0,0,838122486818562048,None,None,996456693465837568
2018-05-15 18:28:01,3951726322,996457189182267392,-0.5,-0.1,0.0,0.0,None,None,None,None
2018-05-15 18:28:08,744793936581955585,996457219221786627,-0.5,0.0,0,0,838122486818562048,None,None,996456693465837568
2018-05-15 18:28:32,747868488761413632,996457317544681472,-0.5,0.0,0,0,838122486818562048,None,None,996456693465837568
2018-05-15 18:33:42,771770039611645952,996458618391285760,-0.5,0.0,0,0,838122486818562048,None,None,996456693465837568
2018-05-15 18:45:41,918889854267781120,996461634582347776,-0.5,0.0,0,0,918889854267781120,None,None,996443332996976642
2018-05-15 18:46:47,602493585,996461911473606657,-0.5,0.0,0,0,None,None,None,None
2018-05-15 18:55:34,916356509130543105,996464122547134464,-0.5,0.3,0,0,918889854267781120,None,None,996453925330083840
2018-05-15 18:59:52,931329521738924032,996465202508910592,-0.5,0.25,0,0,None,None,931329521738924032,None
2018-05-15 19:10:06,911610154512248833,996467777245413376,-0.5,0.0,0,0,None,None,None,None
2018-05-15 19:12:05,487535749,996468277521076225,-0.5,0.014,0,0,None,None,None,None
2018-05-15 19:14:50,2709417570,996468969338007553,-0.5,-0.039,0,0,487535749,None,None,996468277521076225
2018-05-15 19:27:55,3656344696,996472263301042177,-0.5,0.0,0,0,None,None,68034431,None
2018-05-15 19:34:16,1191783564,996473858516451331,-0.5,0.0,0,0,None,None,None,None
2018-05-15 19:42:29,2867977953,996475927667322881,-0.5,0.2,0,0,487535749,None,None,996468277521076225
2018-05-15 19:55:57,759364128456732672,996479316677578752,-0.5,0.156,0,0,487535749,None,None,996468277521076225
2018-05-15 19:57:19,929053784348725251,996479660371464192,-0.5,0.55,0,0,None,None,932723429274300416,None
2018-05-15 19:59:45,748430978163445761,996480271921827840,-0.5,0.0,0,0,None,None,710596627082436608,None
2018-05-15 20:22:22,973943429104324613,996485965718937600,-0.5,0.0,0,0,487535749,None,None,996468277521076225
2018-05-15 20:26:13,890947870563741696,996486932912836608,-0.5,0.0,0,0,None,None,945818661230608384,None
2018-05-15 20:27:04,498065893,996487149305389056,-0.5,0.167,0.0,0.0,3951726322,None,None,996457189182267392
2018-05-15 20:35:10,929204856,996489187451908098,-0.5,0.0,0,0,38737371,None,None,996450594301927426
2018-05-15 20:44:47,932077601136427008,996491605929529344,-0.5,0.031,0,0,1046716076,None,None,986392298996019201
2018-05-15 20:55:49,3298457087,996494384223981569,-0.5,0.5,0,0,487535749,None,None,996468277521076225
2018-05-15 20:57:18,46104233,996494756690743296,-0.5,-0.025,0,0,None,None,46104233,None
2018-05-15 21:01:40,598493070,996495856240152577,-0.5,0.0,0,0,None,None,399514327,None
2018-05-15 21:22:14,838122486818562048,996501031763808256,-0.5,0.0,0,0,918889854267781120,None,None,996453925330083840
2018-05-15 21:24:18,919473645323542533,996501550540509184,-0.5,0.0,0,0,487535749,None,None,996468277521076225
2018-05-15 21:28:02,2811154361,996502490219720705,-0.5,0.5,0,0,None,None,None,None
2018-05-15 21:38:58,1346756755,996505241955766275,-0.5,0.14,0,0,977611427170127873,None,None,996076731147710465
2018-05-15 21:42:10,31184516,996506046423273472,-0.5,-0.107,0,0,278063382,None,None,996403425511444480
2018-05-15 21:46:10,26887791,996507052179623941,-0.5,0.0,0,0,278063382,None,None,996403425511444480
2018-05-15 21:46:49,56597230,996507219318525953,-0.5,0.375,0,0,278063382,None,None,996403425511444480
2018-05-15 21:47:40,133021695,996507429507608576,-0.5,0.0,0,0,278063382,None,None,996403425511444480
2018-05-15 21:48:39,434682005,996507679735648256,-0.5,-0.4,0,0,278063382,None,None,996403425511444480
2018-05-15 21:49:09,2593832598,996507806302986241,-0.5,0.0,0,0,278063382,None,None,996403425511444480
2018-05-15 21:49:16,214489148,996507834274734080,-0.5,0.0,0,0,278063382,None,None,996403425511444480
2018-05-15 21:50:11,292741264,996508064059621377,-0.5,0.0,0,0,278063382,None,None,996403425511444480
2018-05-15 21:50:25,167577647,996508123450966017,-0.5,-0.021,0,0,278063382,None,None,996403425511444480
2018-05-15 21:50:37,2166681535,996508175661699072,-0.5,-0.043,0,0,278063382,None,None,996403425511444480
2018-05-15 21:51:02,2911802765,996508279374319616,-0.5,0.0,0,0,278063382,None,None,996403425511444480
2018-05-15 21:55:20,2230484531,996509359382425601,-0.5,0.0,0,0,None,None,7587032,None
2018-05-15 21:55:34,723028008,996509420753481728,-0.5,0.0,0,0,278063382,None,None,996403425511444480
2018-05-15 21:58:14,752186221359730688,996510091519188992,-0.5,-0.08,0,0,487535749,None,None,996468277521076225
2018-05-15 22:04:08,165419230,996511576466296832,-0.5,0.169,0,0,278063382,None,None,996403425511444480
2018-05-15 22:05:10,193586379,996511836534198272,-0.5,0.0,0,0,278063382,None,None,996403425511444480
2018-05-15 22:10:07,824624459625693184,996513082791809024,-0.5,0.0,0,0,None,None,340742079,None
2018-05-15 22:15:01,326004721,996514314360995840,-0.5,-0.167,0,0,None,None,326004721,None
2018-05-15 22:15:08,18026074,996514341800349696,-0.5,0.092,0,0,278063382,None,None,996403425511444480
2018-05-15 22:21:25,2992992865,996515923174408193,-0.5,0.0,0.05,0,None,None,None,None
2018-05-15 22:25:54,901197051509305344,996517054885875712,-0.5,-0.2,0,0,None,None,None,None
2018-05-15 22:30:26,165488732,996518192070692865,-0.5,0.0,0,0,278063382,None,None,996403425511444480
